"Story","Title","Result","Date","Stability","Duration (s)"
"Test All Customer Data APIs","POST API to create new customer","SUCCESS","2020-05-14T11:23:45.648006+05:30[Asia/Calcutta]","0.0","9.89"
"Test All Customer Data APIs","All Customers GET API to get all customers including deleted","SUCCESS","2020-05-14T11:23:55.5991301+05:30[Asia/Calcutta]","0.0","0.83"
"Test All Customer Data APIs","Customers GET API to get 	list of customers","SUCCESS","2020-05-14T11:23:56.4597597+05:30[Asia/Calcutta]","0.0","0.59"
"Test All Customer Data APIs","Customer GET API to get customer by Id","SUCCESS","2020-05-14T11:23:57.0861293+05:30[Asia/Calcutta]","0.0","1.4"
"Test All Customer Data APIs","Customer GET API to get customer by Id that not exist","SUCCESS","2020-05-14T11:23:58.5160134+05:30[Asia/Calcutta]","0.0","0.59"
"Test All Customer Data APIs","Customer DELETE API to delete customer by Id","SUCCESS","2020-05-14T11:23:59.1254782+05:30[Asia/Calcutta]","0.0","1.94"
"Test All Customer Data APIs","Customer DELETE API to delete customer by Id that not exist","SUCCESS","2020-05-14T11:24:01.0915957+05:30[Asia/Calcutta]","0.0","0.54"
"Test All User Email APIs","POST API to send Reset Password Mail","SUCCESS","2020-05-14T11:24:01.8060982+05:30[Asia/Calcutta]","0.0","7.68"
"Test All User Email APIs","POST API to send New Customer Addition Mail","SUCCESS","2020-05-14T11:24:09.5172261+05:30[Asia/Calcutta]","0.0","6.43"
"Test All User Email APIs","POST API to send Welcome Mail on Signup","SUCCESS","2020-05-14T11:24:16.00463+05:30[Asia/Calcutta]","0.0","5.41"
"Test All Lender Data APIs","POST API to create new Lender","SUCCESS","2020-05-14T11:24:21.4676239+05:30[Asia/Calcutta]","0.0","0.83"
"Test All Lender Data APIs","Get Lenders list","SUCCESS","2020-05-14T11:24:22.318556+05:30[Asia/Calcutta]","0.0","0.45"
"Test All Lender Data APIs","Get Lender by User Id","SUCCESS","2020-05-14T11:24:22.7904438+05:30[Asia/Calcutta]","0.0","0.48"
"Test All Lender Data APIs","Get Lender by non existing User Id","SUCCESS","2020-05-14T11:24:23.2815511+05:30[Asia/Calcutta]","0.0","0.46"
